AgenteCausale,DescrAgenteCausale,Gruppo,DescrGruppo,GrandeGruppo,DescrGrandeGruppo,,
11110499,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120104,Solfato di berillio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120108,Cloruro di berillio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120299,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120502,Ossido di bario,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120599,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130201,Composti organici di alluminio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130301,Gallio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130401,Indio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130499,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140106,Cianuri di calcio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140108,Ferrocianuri di potassio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140206,Esafluorosilicati,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140299,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140402,Composti organici di stagno,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140507,Bromuro di piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140517,Arsenito di piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140518,Antimoniato di piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150114,Cloruro di nitrosile,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150119,Fluoruro di ammonio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150199,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150211,Composti fosfonici,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150212,Ossidi di fosforo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150214,Anidride fosforica (pentossido di fosforo),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150217,Trisolfuro di fosforo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150306,Arseniti,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150311,Composti organici dell'arsenico,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150406,Pentossido di antimonio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150407,Trisolfuro di antimonio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160103,Perossido di idrogeno,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160204,Idrogeno solforato,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160207,Triossido di zolfo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160299,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160303,Selenidi,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160305,Selenati,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160307,Esafluoruro di selenio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11170101,Fluoro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11170204,Perclorati,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
12444099,altro,3,ALCOLI,,,,
12451099,altro,3,ALCOLI,,,,
12461001,Acetato di piombo,3,ALCOLI,,,,
12463001,Sali di acidi carbossilici aromatici,3,ALCOLI,,,,
12480003,Epsilon-caprolattame,3,ALCOLI,,,,
12491001,Formammide,3,ALCOLI,,,,
12491011,Urea,,,,,,
12491012,Tiourea,,,,,,
12501005,Cloruro di ossalile,3,ALCOLI,,,,
12510001,Metano solfonile cloruro,3,ALCOLI,,,,
12521015,Cianammide di calcio,3,ALCOLI,,,,
12521018,Cianogeno,3,ALCOLI,,,,
12521024,Isocianometano,3,ALCOLI,,,,
12521030,Salicilnitrile (it),3,ALCOLI,,,,
11110301,Sodio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110304,Cloruro di sodio (sale da cucina),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110404,Idrossido di potassio (alcali caustici).,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110601,Cesio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110699,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110701,Francio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120102,Ossido di berillio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120105,Ossido di berillio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120109,Leghe,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120302,Ossidi di calcio (calce),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120499,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120601,Radio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130502,Composti talliosi,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130599,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140401,Stagno,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140501,Piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140509,Fluoruro di piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140510,Solfato di piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140511,Cromato di piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140519,Leghe,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150112,Ossido diazotato,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150202,Tricresil fosfato (TCT) (Composto organico),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150206,Altri composti organici,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150210,Fosfati,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150216,Pentacloruro di fosforo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150303,Ossidi di arsenico,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150308,Arseniuri,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150409,Leghe,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150499,Altri composti inorganici,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160101,Ossigeno,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160201,Zolfo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160202,Acido solforico,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160209,Solfiti (bisolfiti),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160599,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11170102,Fluoruri,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11170302,Bromuri,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11170402,Preparati iodici,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11170405,Ioditi,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11170499,Altri composti inorganici,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11210103,Solfato di rame,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11220102,Ossido di zinco,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11220199,Altri composti,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11220309,Clorato mercuroso,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11220313,Ioduro mercurico,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11230101,Scandio,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11230199,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11240202,Ossido di zirconio,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11250102,Ossido di vanadio,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11250107,Triossido di vanadio,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11250301,Tantalio,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11250399,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11260103,Triossido di cromo,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11260109,Leghe,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11260198,Altri composti del cromo trivalente,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11260299,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11270106,Arseniato di manganese,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11280202,Arseniato di cobalto,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11280299,Altri sali di cobalto,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11280599,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11280899,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11280999,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11400099,altro,4,TERRE RARE,1,AGENTI CHIMICI INORGANICI,,
11510300,Plutonio,5,ELEMENTI RADIOTTIVI,1,AGENTI CHIMICI INORGANICI,,
11510600,Carbonio14,5,ELEMENTI RADIOTTIVI,1,AGENTI CHIMICI INORGANICI,,
11600200,Acido perborico,6,ACIDI INORGANICI ANIDRI E SOLUZIONI,1,AGENTI CHIMICI INORGANICI,,
11600700,Acido ipocloroso,6,ACIDI INORGANICI ANIDRI E SOLUZIONI,1,AGENTI CHIMICI INORGANICI,,
11601000,Acido iodidricoo,6,ACIDI INORGANICI ANIDRI E SOLUZIONI,1,AGENTI CHIMICI INORGANICI,,
11601999,altro,6,ACIDI INORGANICI ANIDRI E SOLUZIONI,1,AGENTI CHIMICI INORGANICI,,
12111001,Metano,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12111002,Etano,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12111004,Butano (isobutano),1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12111005,Pentano (isopentano,,,,,,
12112102,Pentadiene (it),1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12112108,Isoprene (2-metil-1,,,,,,
12112202,Metilacetilene,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12112299,altro,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12121001,Ciclopropano,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12121002,Ciclopentano,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12121005,Metilcicloesano,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12121006,Decalina (decaidronaftalene),1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12131005,Isopropilbenzene (cumene),1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12132011,Terfenile,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12140101,Etilenimmina (aziridina),1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12140701,Pirazolo,,,,,,
12141102,Tetraidroossazina di morfolina,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12141299,altro,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12141304,Picolina (metilpiridina),1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12141601,Tetrazina (it),1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12141801,Indolo,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12142201,Benzotiazolo,1,AGENTI CHIMICI COMPOSTI ORGANICI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12211211,Tetracloruro di acetilene (Dk),2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12211212,Pentacloroetano,2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12211305,Tribromometano (bromoformio),2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12212203,Tricloroetilene (tricloruro di etilene,,,,,,
12212205,Cloruro di allile (cloropropilene),2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12212399,altro,2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12220299,altro,2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12220302,Dibromocicloesano (it),2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12220303,Dibromociclopropano (DBCP) (it),2,DERIVATI ALOGENATI DI IDROCARBURI,2,AGENTI CHIMICI COMPOSTI ORGANICI,,
12311103,n-propanolo,3,ALCOLI,,,,
12311109,Pentanolo (alcool amilico,,,,,,
12311119,Pentaeritritolo,3,ALCOLI,,,,
12311120,Esatolo,,,,,,
12311121,4 - metil - 2 - pentanolo (De),3,ALCOLI,,,,
12311126,Alcool isopropilico (it),3,ALCOLI,,,,
12321014,Idrochinone (it),3,ALCOLI,,,,
12323099,altro,3,ALCOLI,,,,
12332002,2,,,,,GLICOLI,FENOLI...;2;AGENTI CHIMICI COMPOSTI ORGANICI
12341004,Etere isopropilico,3,ALCOLI,,,,
12343102,Etere monoetilico glicolico etilenico,3,ALCOLI,,,,
12343111,Etere monoetilico glicolico trietilenico,3,ALCOLI,,,,
12343206,Etere monobutilico glicolico dipropilenico,3,ALCOLI,,,,
12352001,Cloruro di eteri difenilici,3,ALCOLI,,,,
12361003,Ossido di butilene,3,ALCOLI,,,,
12361010,Monossido di limonene,3,ALCOLI,,,,
12361012,Biossido di limonene,3,ALCOLI,,,,
12361013,Ossido di alfa-pinene,3,ALCOLI,,,,
12361018,Epicloridina (it),3,ALCOLI,,,,
12371012,Glutaraldeide pentanediale,3,ALCOLI,,,,
12374004,p-tolualdeide,3,ALCOLI,,,,
12374005,Salicilaldeide (o-idrossibenzaldeide),3,ALCOLI,,,,
12374008,Vanillina (vanillato),3,ALCOLI,,,,
12374099,altro,3,ALCOLI,,,,
12381112,Chetone diisobutilico (2,,,,,,
12381299,altro,3,ALCOLI,,,,
12381306,Muscone,3,ALCOLI,,,,
12381309,Carvone,3,ALCOLI,,,,
12382004,2-metil-1,,,,,,
12382005,Vitamine k1 vitamina k2,3,ALCOLI,,,,
12391007,Chetoacetale (4,,,,,,
12401205,Acido linoleico,3,ALCOLI,,,,
12401299,altro,3,ALCOLI,,,,
12401307,Acido trifluoroacetico,3,ALCOLI,,,,
12402002,Dodecilaminoetilglicina,3,ALCOLI,,,,
12404004,Acido malico,3,ALCOLI,,,,
12404007,Acido citrico4,3,ALCOLI,,,,
12405099,altro,3,ALCOLI,,,,
12406102,Acido o-toluenico,3,ALCOLI,,,,
12406106,Acido tereftalico,3,ALCOLI,,,,
12406199,altro,3,ALCOLI,,,,
12406306,Acido salicilico (acido o-idrossibenzoico),3,ALCOLI,,,,
12406307,Acido nitrobenzoico,3,ALCOLI,,,,
12411002,Acido benzenebenzenesolfonico,3,ALCOLI,,,,
12412004,Acido mercaptopropionico,3,ALCOLI,,,,
12420008,Anidride esaidroftalica,3,ALCOLI,,,,
12431204,Acetato amilico,3,ALCOLI,,,,
12431301,Proprionato metilico,3,ALCOLI,,,,
12431402,Butirrato etilico,3,ALCOLI,,,,
12431702,Maleato dimetilico,3,ALCOLI,,,,
12432001,Monoacetato etilenico,3,ALCOLI,,,,
11110102,Tritio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110305,Idrossido di sodio(alcali caustici),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110501,Rubidio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120201,Magnesio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120501,Bario,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11120699,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130102,Composti organici del boro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130103,Borani,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130104,Borati,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130106,Composti fluorurati di boro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130202,Ossidi di alluminio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130501,Tallio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11130505,Leghe,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140107,Ferrocianuri di sodio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140111,Composti clorurati del carbonio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140201,Silicio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140399,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140502,Composti organici del piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11140512,Biossido di piombo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150118,Pentossido d'azoto,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150203,Trietilfosfato(Composto organico),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150204,Trietilfosfito (composto organico),1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150219,Fosforo rosso,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150221,Ossicloruro di fosforo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150309,Alogenuri di arsenico,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11150599,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160206,Biossido di zolfo,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11160211,Persolfati,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11210104,Ossicloruro di rame,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11210299,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11220304,Cloruro mercurico,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11220311,Arseniato mercurico,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11220399,Altri composti inorganici del mercurio,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11250103,Pentossido di vanadio,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11250108,Leghe,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11250299,altro,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11260102,Ossido di cromo,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11260105,Bicromati,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11270105,Fluoruro di manganese,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11270107,Leghe,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11280201,Cobalto,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
11280207,Nitrato di cobalto,2,AGENTI CHIMICI INORGANICI GRUPPO B,1,AGENTI CHIMICI INORGANICI,,
